Arena,City,Country,capacity,team
Times Union Center,Albany,United States,17500.0,Albany Devils
Honda Center,Anaheim,United States,17174.0,Anaheim Ducks
Gila River Arena,Glendale,United States,17125.0,Arizona Coyotes
TD Garden,Boston,United States,17565.0,Boston Bruins
KeyBank Center,Buffalo,United States,19070.0,Buffalo Sabres
Scotiabank Saddledome,Calgary,Canada,19289.0,Calgary Flames
PNC Arena,Raleigh,United States,18680.0,Carolina Hurricanes
United Center,Chicago,United States,19700.0,Chicago Blackhawks
Allstate Arena,Rosemont,United States,16692.0,Chicago Wolves
Pepsi Center,Denver,United States,18007.0,Colorado Avalanche
Nationwide Arena,Columbus,United States,18144.0,Columbus Blue Jackets
American Airlines Center,Dallas,United States,18532.0,Dallas Stars
Joe Louis Arena,Detroit,United States,20027.0,Detroit Red Wings
Minsk-Arena,Minsk,Belarus,15086.0,Dinamo Minsk
Rogers Place,Edmonton,Canada,18641.0,Edmonton Oilers
BB&T Center,Sunrise,United States,19250.0,Florida Panthers
FirstOntario Centre,Hamilton,Canada,17383.0,Hamilton Bulldogs
O2 Arena,Prague,Czech Republic,17360.0,HC Sparta Praha
Toyota Center,Houston,United States,17800.0,Houston Aeros
Wells Fargo Arena,Des Moines,United States,15581.0,Iowa Stars
Lanxess Arena,Cologne,Germany,18500.0,K̦lner Haie
Staples Center,Los Angeles,United States,18118.0,Los Angeles Kings
Arena Zagreb,Zagreb,Croatia,15024.0,Medvescak Zagreb
BMO Harris Bradley Center,Milwaukee,United States,17845.0,Milwaukee Admirals
Xcel Energy Center,St. Paul,United States,18064.0,Minnesota Wild
Bell Centre,Montreal,Canada,21273.0,Montreal Canadiens
Bridgestone Arena,Nashville,United States,17113.0,Nashville Predators
XL Center,Hartford,United States,15635.0,New England Whalers
Prudential Center,Newark,United States,16514.0,New Jersey Devils
Nassau Veterans Memorial Coliseum,Uniondale,United States,16234.0,New York Islanders
Madison Square Garden (IV),New York City,United States,18006.0,New York Rangers
Value City Arena,Columbus,United States,17500.0,Ohio State Buckeyes men's ice hockey
Canadian Tire Centre,Ottawa,Canada,19153.0,Ottawa Senators
Wells Fargo Center,Philadelphia,United States,19537.0,Philadelphia Flyers
PPG Paints Arena,Pittsburgh,United States,18387.0,Pittsburgh Penguins
The Moda Center,Portland,United States,18280.0,Portland Winterhawks
Videotron Centre,Quebec City,Canada,18259.0,Quebec Remparts
SAP Center at San Jose,San Jose,United States,17562.0,San Jose Sharks
SaskTel Centre,Saskatoon,Canada,15195.0,Saskatoon Blades
PostFinance-Arena,Bern,Switzerland,17031.0,SC Bern
Scottrade Center,St. Louis,United States,19150.0,St. Louis Blues
Amalie Arena,Tampa,United States,19204.0,Tampa Bay Lightning
Air Canada Centre,Toronto,Canada,18800.0,Toronto Maple Leafs
BOK Center,Tulsa,United States,17096.0,Tulsa Oilers
Rogers Arena,Vancouver,Canada,18910.0,Vancouver Canucks
T-Mobile Arena,Las Vegas,United States,17500.0,Vegas Golden Knights
Verizon Center,Washington,United States,18506.0,Washington Capitals
MTS Centre,Winnipeg,Canada,15294.0,Winnipeg Jets
